ID,Target
1.0,0.4
2.0,0.4
3.0,0.3
4.0,0.3
5.0,0.2
6.0,0.4
7.0,0.4
8.0,1.1
9.0,0.4
10.0,0.7
11.0,2.9
12.0,1.5
13.0,1.1
14.0,0.7
15.0,0.9
16.0,0.9
17.0,0.9
18.0,0.0
19.0,1.2
20.0,0.9
21.0,1.8
22.0,0.3
23.0,-0.2
24.0,0.0
25.0,0.0
26.0,0.1
27.0,0.2
28.0,2.0
29.0,0.4
30.0,0.2
31.0,0.5
32.0,0.9
33.0,0.9
34.0,0.5
35.0,-0.1
36.0,0.0
37.0,0.0
38.0,0.5
39.0,0.4
40.0,0.5
41.0,0.9
42.0,-0.0
43.0,1.6
44.0,1.1
45.0,0.7
46.0,1.0
47.0,0.2
48.0,0.0
49.0,0.8
50.0,1.3
51.0,0.1
52.0,2.7
53.0,0.3
54.0,2.8
55.0,0.2
56.0,0.5
57.0,4.6
58.0,-0.0
59.0,-0.1
60.0,1.8
61.0,0.4
62.0,1.3
63.0,1.1
64.0,0.2
65.0,0.1
66.0,0.6
67.0,0.1
68.0,0.1
69.0,0.0
70.0,1.3
71.0,2.7
72.0,0.3
73.0,0.1
74.0,0.3
75.0,0.9
76.0,0.3
77.0,0.8
78.0,0.0
79.0,-0.0
80.0,0.2
81.0,0.7
82.0,0.2
83.0,0.3
84.0,0.8
85.0,-0.1
86.0,0.2
87.0,1.1
88.0,0.0
89.0,0.1
90.0,0.4
91.0,0.0
92.0,0.0
93.0,0.7
94.0,0.0
95.0,1.2
96.0,1.2
97.0,1.4
98.0,0.3
99.0,1.0
100.0,2.3
101.0,0.4
102.0,1.2
103.0,0.0
104.0,1.4
105.0,3.4
106.0,1.2
107.0,-0.0
108.0,0.4
109.0,0.7
110.0,0.3
111.0,0.1
112.0,0.8
113.0,1.1
114.0,1.6
115.0,0.9
116.0,0.0
117.0,0.9
118.0,0.8
119.0,0.8
120.0,1.8
121.0,4.7
122.0,0.8
123.0,0.9
124.0,1.0
125.0,0.2
126.0,0.3
127.0,-0.0
128.0,0.3
129.0,0.4
130.0,1.2
131.0,0.6
132.0,1.1
133.0,0.8
134.0,0.3
135.0,0.7
136.0,0.0
137.0,0.3
138.0,0.5
139.0,0.2
140.0,1.1
141.0,0.8
142.0,-0.0
143.0,2.3
144.0,0.6
145.0,0.0
146.0,0.3
147.0,1.6
148.0,0.2
149.0,1.3
150.0,1.0
151.0,0.6
152.0,1.7
153.0,0.0
154.0,0.5
155.0,1.1
156.0,0.3
157.0,1.3
158.0,0.4
159.0,0.0
160.0,0.9
161.0,1.0
162.0,0.9
163.0,3.9
164.0,0.2
165.0,0.5
166.0,0.6
167.0,1.3
168.0,0.2
169.0,0.0
170.0,0.3
171.0,0.6
172.0,0.9
173.0,0.2
174.0,1.0
175.0,0.9
176.0,0.3
177.0,1.7
178.0,0.3
179.0,-0.0
180.0,1.7
181.0,0.4
182.0,0.8
183.0,0.3
184.0,0.0
185.0,1.0
186.0,1.2
187.0,1.5
188.0,-0.0
189.0,1.8
190.0,2.1
191.0,1.0
192.0,3.8
193.0,0.8
194.0,0.0
195.0,0.3
196.0,0.8
197.0,-0.0
198.0,0.4
199.0,0.5
200.0,0.1
201.0,0.6
202.0,-0.1
203.0,1.2
204.0,0.0
205.0,1.3
206.0,1.6
207.0,0.0
