ID,Target
1.0,0.1
2.0,0.3
3.0,0.1
4.0,0.4
5.0,0.4
6.0,0.2
7.0,0.2
8.0,0.1
9.0,0.4
10.0,0.0
11.0,0.2
12.0,0.2
13.0,0.4
14.0,0.1
15.0,0.3
16.0,0.4
17.0,0.1
18.0,0.1
19.0,0.1
20.0,0.2
21.0,0.3
22.0,0.1
23.0,0.4
24.0,0.1
25.0,0.4
26.0,0.1
27.0,0.5
28.0,0.3
29.0,0.0
30.0,0.0
31.0,0.4
32.0,0.3
33.0,0.1
34.0,0.2
35.0,0.3
36.0,0.4
37.0,0.1
38.0,0.2
39.0,0.2
40.0,0.1
41.0,0.1
42.0,0.4
43.0,0.4
44.0,0.2
45.0,0.5
46.0,0.2
47.0,0.6
48.0,0.1
49.0,0.2
50.0,0.1
51.0,0.3
52.0,0.5
53.0,0.1
54.0,0.0
55.0,0.1
56.0,0.1
57.0,0.1
58.0,0.1
59.0,0.0
60.0,0.3
61.0,0.1
62.0,0.3
63.0,0.2
64.0,0.1
65.0,0.1
66.0,0.1
67.0,0.1
68.0,0.3
69.0,0.5
70.0,0.2
71.0,0.0
72.0,0.1
73.0,0.2
74.0,0.2
75.0,0.1
76.0,0.3
77.0,0.0
78.0,0.1
79.0,0.1
80.0,0.1
81.0,0.0
82.0,0.1
83.0,0.4
84.0,0.3
85.0,0.4
86.0,0.2
87.0,0.1
88.0,0.6
89.0,0.2
90.0,0.1
91.0,0.3
92.0,0.4
93.0,0.5
94.0,0.5
95.0,0.1
96.0,0.1
97.0,0.3
98.0,0.5
99.0,0.1
100.0,0.1
101.0,0.1
102.0,0.5
103.0,0.4
104.0,0.1
105.0,0.1
106.0,0.2
107.0,0.2
108.0,0.1
109.0,0.0
110.0,0.1
111.0,0.2
112.0,0.5
113.0,0.5
114.0,0.2
115.0,0.1
116.0,0.1
117.0,0.3
118.0,0.1
119.0,0.1
120.0,0.3
121.0,0.1
122.0,0.1
123.0,0.1
124.0,0.1
125.0,0.2
126.0,0.4
127.0,0.1
128.0,0.3
129.0,0.0
130.0,0.4
131.0,0.4
132.0,0.5
133.0,0.1
134.0,0.1
135.0,0.1
136.0,0.1
137.0,0.3
138.0,0.1
139.0,0.0
140.0,0.0
141.0,0.4
142.0,0.4
143.0,0.0
144.0,0.3
145.0,0.0
146.0,0.1
147.0,0.6
148.0,0.4
149.0,0.6
150.0,0.2
151.0,0.3
152.0,0.1
153.0,0.1
154.0,0.4
155.0,0.2
156.0,0.2
157.0,0.6
158.0,0.1
159.0,0.0
160.0,0.1
161.0,0.4
162.0,0.3
163.0,0.1
164.0,0.2
165.0,0.3
166.0,0.1
167.0,0.1
168.0,0.0
169.0,0.2
170.0,0.4
171.0,0.2
172.0,0.0
173.0,0.5
174.0,0.1
175.0,0.2
176.0,0.1
177.0,0.2
178.0,0.2
179.0,0.3
180.0,0.3
181.0,0.1
182.0,0.1
183.0,0.6
184.0,0.1
185.0,0.5
186.0,0.0
187.0,0.6
188.0,0.2
189.0,0.1
190.0,0.2
191.0,0.4
192.0,0.1
193.0,0.3
194.0,0.1
195.0,0.2
196.0,0.4
197.0,0.1
198.0,0.5
199.0,0.1
200.0,0.3
201.0,0.1
202.0,0.1
203.0,0.1
204.0,0.1
205.0,0.1
206.0,0.1
207.0,0.2
208.0,0.2
209.0,0.1
210.0,0.3
211.0,0.4
212.0,0.3
213.0,0.4
214.0,0.1
215.0,0.2
216.0,0.1
217.0,0.1
218.0,0.0
219.0,0.1
220.0,0.3
221.0,0.1
222.0,0.1
223.0,0.1
224.0,0.0
225.0,0.3
226.0,0.3
227.0,0.5
228.0,0.2
229.0,0.4
230.0,0.3
231.0,0.1
232.0,0.2
233.0,0.1
234.0,0.3
235.0,0.1
236.0,0.2
237.0,0.1
238.0,0.3
239.0,0.2
240.0,0.1
241.0,0.2
242.0,0.3
243.0,0.2
244.0,0.1
245.0,0.1
246.0,0.3
247.0,0.3
248.0,0.3
249.0,0.3
250.0,0.2
251.0,0.5
252.0,0.0
253.0,0.2
254.0,0.1
255.0,0.1
256.0,0.4
257.0,0.2
258.0,0.5
259.0,0.3
260.0,0.1
261.0,0.1
262.0,0.2
263.0,0.7
264.0,0.2
265.0,0.1
266.0,0.1
267.0,0.1
268.0,0.4
269.0,0.1
270.0,0.1
271.0,0.2
272.0,0.5
273.0,0.0
274.0,0.4
275.0,0.0
276.0,0.3
277.0,0.3
278.0,0.1
279.0,0.1
280.0,0.2
281.0,0.1
282.0,0.2
283.0,0.2
284.0,0.2
285.0,0.3
286.0,0.4
287.0,0.5
288.0,0.1
289.0,0.4
290.0,0.1
291.0,0.3
292.0,0.2
293.0,0.3
